Time,ParticipantID,DatasetID,TechniqueID,RepetitionID,mapPosx,mapPosy,mapPosz,mapRotaionx,mapRotationy,mapRotationz,markerHandPosx,markerHandPosy,markerHandPosz,reletivePosx,reletivePosy,reletivePosz,Lable
2.084595,16,3,3,1,0.7311182,0.9536705,0.3283828,289.3398,156.2355,167.2324,0.6583997,0.8983747,0.2670155,-11.49218,2.609318,-5.040732,Nothing
2.094025,16,3,3,1,0.7313906,0.953279,0.3283277,289.4988,155.8385,167.6153,0.658358,0.8982883,0.2669347,-11.51228,2.596949,-5.021801,Nothing
2.103333,16,3,3,1,0.7312655,0.9532861,0.3285127,289.4997,155.8783,167.566,0.6584578,0.8982521,0.2670007,-11.50126,2.621482,-5.016211,Nothing
2.11853,16,3,3,1,0.7314109,0.9531119,0.3284423,289.634,155.7257,167.7041,0.6586464,0.8982873,0.2671197,-11.48095,2.611092,-4.997027,Nothing
2.12616,16,3,3,1,0.7316134,0.9529238,0.3282526,289.761,155.586,167.8655,0.6587014,0.8982695,0.2671956,-11.47233,2.589131,-4.987985,Nothing
2.134674,16,3,3,1,0.7314578,0.9532209,0.3282633,289.7056,155.8367,167.5954,0.6587144,0.8982725,0.2672201,-11.46571,2.59735,-5.00707,Nothing
2.142548,16,3,3,1,0.7313092,0.9535663,0.3282148,289.7323,155.9705,167.3933,0.6588754,0.8981989,0.2672702,-11.44126,2.611673,-5.040865,Nothing
2.151459,16,3,3,1,0.7312168,0.9537116,0.3282501,289.6713,156.0961,167.2597,0.6588706,0.8982124,0.2673392,-11.43502,2.610502,-5.052676,Nothing
2.159637,16,3,3,1,0.7311538,0.9539978,0.3281166,289.6491,156.3361,167.0128,0.6589512,0.8981492,0.2674407,-11.41603,2.605245,-5.084256,Nothing
2.168579,16,3,3,1,0.7310887,0.9544258,0.3280334,289.5632,156.7485,166.6304,0.659058,0.8980618,0.2676414,-11.39509,2.602464,-5.130624,Nothing
2.176178,16,3,3,1,0.7311149,0.9544531,0.3279566,289.5656,156.7991,166.6097,0.6591159,0.8980908,0.2676984,-11.38331,2.598045,-5.131417,Nothing
2.185486,16,3,3,1,0.7311329,0.9547796,0.327705,289.5547,157.1688,166.3059,0.6592719,0.8980658,0.2679385,-11.34869,2.582838,-5.163962,Nothing
2.193024,16,3,3,1,0.7312251,0.9546598,0.3275649,289.5825,157.1423,166.3844,0.6593152,0.8980929,0.2679904,-11.33632,2.570408,-5.154586,Nothing
2.20163,16,3,3,1,0.7313155,0.9548256,0.3272222,289.5851,157.4241,166.1834,0.6594189,0.8980873,0.2682347,-11.30237,2.537274,-5.17698,Nothing
2.209442,16,3,3,1,0.731199,0.9547414,0.3273292,289.6166,157.3648,166.2264,0.6594529,0.8981845,0.2682329,-11.29335,2.550615,-5.151634,Nothing
2.21875,16,3,3,1,0.7311631,0.9547102,0.3271891,289.7054,157.4586,166.1743,0.6595722,0.898129,0.2684845,-11.2555,2.541733,-5.152437,Nothing
2.226563,16,3,3,1,0.7311358,0.9547553,0.3271299,289.7061,157.459,166.18,0.6597328,0.8980017,0.2684902,-11.23476,2.556354,-5.170783,Nothing
2.23584,16,3,3,1,0.7311596,0.9543168,0.327088,289.7108,157.2904,166.3935,0.6598734,0.8978657,0.2686993,-11.19665,2.542925,-5.154749,Nothing
2.243469,16,3,3,1,0.7311033,0.9543865,0.3272426,289.6636,157.2796,166.3748,0.6598645,0.8977951,0.2686882,-11.20462,2.556251,-5.168282,Nothing
2.251556,16,3,3,1,0.7308531,0.9539703,0.3277648,289.5759,156.9875,166.5816,0.6600342,0.897656,0.2688825,-11.17727,2.583445,-5.145119,Nothing
2.259613,16,3,3,1,0.7307358,0.9539222,0.3280816,289.549,156.9092,166.5655,0.6600469,0.8976505,0.2688455,-11.18984,2.60217,-5.132856,Nothing
2.268585,16,3,3,1,0.7303807,0.9533638,0.3288839,289.425,156.528,166.8285,0.6603111,0.8974872,0.2689822,-11.16411,2.659972,-5.090127,Nothing
2.276672,16,3,3,1,0.7303315,0.9533455,0.329017,289.3856,156.4769,166.8551,0.6603442,0.8975117,0.2688457,-11.17311,2.680197,-5.081168,Nothing
2.284729,16,3,3,1,0.7299576,0.9530053,0.3298259,289.2389,156.1662,167.017,0.6605099,0.8974346,0.2687783,-11.17445,2.747,-5.044644,Nothing
2.292999,16,3,3,1,0.7298987,0.9531597,0.3298961,289.2265,156.2486,166.9065,0.6604953,0.897433,0.2686864,-11.1864,2.761997,-5.051694,Nothing
2.301147,16,3,3,1,0.7292581,0.9533225,0.3306305,289.0585,156.2713,166.7369,0.6605977,0.8973063,0.2684865,-11.18793,2.860998,-5.053625,Nothing
2.309326,16,3,3,1,0.7290136,0.9535018,0.3308587,288.9551,156.444,166.5237,0.6607773,0.8972033,0.2682151,-11.19032,2.923953,-5.060615,Nothing
2.318146,16,3,3,1,0.7294246,0.9538414,0.3297914,289.081,156.844,166.4157,0.6607077,0.8971288,0.2681543,-11.17025,2.879635,-5.113385,Nothing
